Bib,Catalog,Normalized,Name,Different?,IRI,LC ID
6746061,https://search.library.yale.edu/catalog/6746061,foxon david f david fairweather,"Foxon, David F. (David Fairweather)",,http://id.loc.gov/authorities/names/n90625799,http://id.loc.gov/authorities/names/n90625799
6958260,https://search.library.yale.edu/catalog/6958260,steel w g william gladstone,"Steel, W. G. (William Gladstone)",,http://id.loc.gov/authorities/names/no2008048022,http://id.loc.gov/authorities/names/no2008048022
7374685,https://search.library.yale.edu/catalog/7374685,brandt c carol,"Brandt, C. (Carol)",,http://id.loc.gov/authorities/names/nb2009019600,http://id.loc.gov/authorities/names/nb2009019600
7693380,https://search.library.yale.edu/catalog/7693380,chapman ezekiel j ezekiel jones,"Chapman, Ezekiel J. (Ezekiel Jones)",,http://id.loc.gov/authorities/names/nr2003018645,http://id.loc.gov/authorities/names/nr2003018645
7763963,https://search.library.yale.edu/catalog/7763963,koch frederick r frederick robinson,"Koch, Frederick R. (Frederick Robinson)",,http://id.loc.gov/authorities/names/n2001031019,http://id.loc.gov/authorities/names/n2001031019
7772536,https://search.library.yale.edu/catalog/7772536,maclehose james publisher,"Maclehose, James (Publisher)",,http://id.loc.gov/authorities/names/nr93005796,http://id.loc.gov/authorities/names/nr93005796
8391628,https://search.library.yale.edu/catalog/8391628,visiak e h edward harold,"Visiak, E. H. (Edward Harold)",,http://id.loc.gov/authorities/names/n79090189,http://id.loc.gov/authorities/names/n79090189
8792411,https://search.library.yale.edu/catalog/8792411,eyles john sir,"Eyles, John, Sir.",,http://id.loc.gov/authorities/names/n88145434,http://id.loc.gov/authorities/names/n88145434
9061461,https://search.library.yale.edu/catalog/9061461,hesketh robert architect,"Hesketh, Robert, architect.",,http://id.loc.gov/authorities/names/n88175057,http://id.loc.gov/authorities/names/n88175057
9141217,https://search.library.yale.edu/catalog/9141217,chambers robert e s robert edward stuart,"Chambers, Robert E. S. (Robert Edward Stuart)",,http://id.loc.gov/authorities/names/no96021976,http://id.loc.gov/authorities/names/no96021976
9454889,https://search.library.yale.edu/catalog/9454889,kali hindu deity,Kālī (Hindu deity),,http://id.loc.gov/authorities/subjects/sh88002593,http://id.loc.gov/authorities/subjects/sh88002593
9458395,https://search.library.yale.edu/catalog/9458395,drayton grace g grace gebbie,"Drayton, Grace G. (Grace Gebbie)",,http://id.loc.gov/authorities/names/n84034417,http://id.loc.gov/authorities/names/n84034417
9680037,https://search.library.yale.edu/catalog/9680037,mary blessed virgin saint--prayers and devotions,"Mary, Blessed Virgin, Saint--Prayers and devotions.",,http://id.loc.gov/authorities/subjects/sh85081723,http://id.loc.gov/authorities/subjects/sh85081723
10131525,https://search.library.yale.edu/catalog/10131525,sickman l c s laurence c s,"Sickman, L. C. S. (Laurence C. S.)",,http://id.loc.gov/authorities/names/n85089112,http://id.loc.gov/authorities/names/n85089112
10404357,https://search.library.yale.edu/catalog/10404357,taylor f m frank m,"Taylor, F. M. (Frank M.)",,http://id.loc.gov/authorities/names/no89001268,http://id.loc.gov/authorities/names/no89001268
10425916,https://search.library.yale.edu/catalog/10425916,lloyd richard,"Lloyd, Richard.",,http://id.loc.gov/authorities/names/no2014038610,http://id.loc.gov/authorities/names/no2014038610
10439388,https://search.library.yale.edu/catalog/10439388,painter c c charles cornelius,"Painter, C. C. (Charles Cornelius)",,http://id.loc.gov/authorities/names/n88071053,http://id.loc.gov/authorities/names/n88071053
10599362,https://search.library.yale.edu/catalog/10599362,wood a h e arthur h e,"Wood, A. H. E. (Arthur H. E.)",,http://id.loc.gov/authorities/names/n85242250,http://id.loc.gov/authorities/names/n85242250
10616576,https://search.library.yale.edu/catalog/10616576,jameson william,"Jameson, William.",,http://id.loc.gov/authorities/names/n85121892,http://id.loc.gov/authorities/names/n85121892
11035322,https://search.library.yale.edu/catalog/11035322,armbruster wm william,"Armbruster, Wm. (William)",,http://id.loc.gov/authorities/names/no2011192589,http://id.loc.gov/authorities/names/no2011192589
11070877,https://search.library.yale.edu/catalog/11070877,hermes trismegistus,"Hermes, Trismegistus.",,http://id.loc.gov/authorities/names/n80133312,http://id.loc.gov/authorities/names/n80133312
11173782,https://search.library.yale.edu/catalog/11173782,kingsford f florence,"Kingsford, F. (Florence)",,http://id.loc.gov/authorities/names/no00081250,http://id.loc.gov/authorities/names/no00081250
11320152,https://search.library.yale.edu/catalog/11320152,rubi cayetano maria pignatelli rubi corbera y saint clement marques de,"Rubí, Cayetano María Pignatelli Rubí Corbera y Saint Clement, marqués de.",,http://id.loc.gov/authorities/names/n95047406,http://id.loc.gov/authorities/names/n95047406
11320539,https://search.library.yale.edu/catalog/11320539,stanton madeline e madeline earle,"Stanton, Madeline E. (Madeline Earle)",,http://id.loc.gov/authorities/names/n84805775,http://id.loc.gov/authorities/names/n84805775
11402572,https://search.library.yale.edu/catalog/11402572,cholmeley robert f robert francis,"Cholmeley, Robert F. (Robert Francis)",,http://id.loc.gov/authorities/names/n2011074514,http://id.loc.gov/authorities/names/n2011074514
11402572,https://search.library.yale.edu/catalog/11402572,schloesser henry h henry herman,"Schloesser, Henry H. (Henry Herman)",,http://id.loc.gov/authorities/names/nb99026289,http://id.loc.gov/authorities/names/nb99026289
11681957,https://search.library.yale.edu/catalog/11681957,haworth m e martin e,"Haworth, M. E. (Martin E.)",,http://id.loc.gov/authorities/names/n2008013181,http://id.loc.gov/authorities/names/n2008013181
11706224,https://search.library.yale.edu/catalog/11706224,mahan margaret margaret elizabeth,"Mahan, Margaret (Margaret Elizabeth)",,http://id.loc.gov/authorities/names/no2015051150,http://id.loc.gov/authorities/names/no2015051150
11746157,https://search.library.yale.edu/catalog/11746157,westmacott richard sir,"Westmacott, Richard, Sir.",,http://id.loc.gov/authorities/names/n93067787,http://id.loc.gov/authorities/names/n93067787
11784703,https://search.library.yale.edu/catalog/11784703,golokhvastov georgii vladimirovich,"Golokhvastov, Georgiĭ Vladimirovich.",,http://id.loc.gov/authorities/names/n81058226,http://id.loc.gov/authorities/names/n81058226
11796007,https://search.library.yale.edu/catalog/11796007,skues g e m george edward mackenzie,"Skues, G. E. M. (George Edward Mackenzie)",,http://id.loc.gov/authorities/names/n85242261,http://id.loc.gov/authorities/names/n85242261
11802776,https://search.library.yale.edu/catalog/11802776,berg a scott andrew scott,"Berg, A. Scott (Andrew Scott)",,http://id.loc.gov/authorities/names/n77015700,http://id.loc.gov/authorities/names/n77015700
