Select,XPath,Examples
,/rdf:RDF/bf:Work/bf:subject/bf:Topic/madsrdf:componentList/bf:Hub/bf:contribution/bf:Contribution/bf:agent/bf:Agent/bflc:marcKey,"60010$aAriosto, Lodovico,$d1474-1533.$tOrlando furioso$xIllustrations.
60000$aQuintus,$cSmyrnaeus,$d4th cent.$tPosthomerica$xConcordances.
60010$aFracastoro, Girolamo,$d1478-1553.$tSyphilis$vBibliography."
,/rdf:RDF/bf:Work/bf:subject/bf:Topic/madsrdf:componentList/bf:Hub/bf:contribution/bf:Contribution/bf:agent/bf:Agent/rdfs:label,"Ariosto, Lodovico, 1474-1533
Quintus, Smyrnaeus, 4th cent
Fracastoro, Girolamo, 1478-1553"
,/rdf:RDF/bf:Work/bf:subject/bf:Topic/madsrdf:componentList/bf:Hub/bf:contribution/bf:Contribution/bf:role/bf:Role,http://id.loc.gov/vocabulary/relators/ctb
,/rdf:RDF/bf:Work/bf:subject/bf:Topic/madsrdf:componentList/bf:Hub/bf:language/bf:Language/rdfs:label,"English
Greek"
,/rdf:RDF/bf:Work/bf:subject/bf:Topic/madsrdf:componentList/bf:Hub/bf:originDate,1816
,/rdf:RDF/bf:Work/bf:subject/bf:Topic/madsrdf:componentList/bf:Hub/bf:version,"Onḳelos
Targum Yerushalmi
Joshua"
,/rdf:RDF/bf:Work/bf:subject/bf:Topic/madsrdf:componentList/bf:Hub/bf:legalDate,"June 28, 1919 (Germany)
1864 August 22
1992"
,/rdf:RDF/bf:Work/bf:subject/bf:Topic/madsrdf:componentList/bf:Hub/bf:source/bf:Source/bf:code,"swd
nli"
,/rdf:RDF/bf:Work/bf:subject/bf:Topic/madsrdf:componentList/madsrdf:Occupation/rdfs:label,"Authors
Clergy
Deans"
,/rdf:RDF/bf:Work/bf:subject/bf:Topic/bf:source/bf:Source/bf:code,"gmgpc
696 % pro"
,/rdf:RDF/bf:Work/bf:subject/bf:Topic/bflc:applicableInstitution/bf:Agent/bf:code,"CtY-BR
CtY-BA"
,/rdf:RDF/bf:Work/bf:subject/bf:Topic/bf:code,"X300
3010
X700"
